Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Car Features
1080767585,HONDA CIVIC REBORN 2009,Honda,Civic Prosmetic,2009,105700,1825000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Front Camera, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080070423,mini pajeri,Mitsubishi,Pajero Mini,2007,100000,1025000,Petrol,Islamabad,Original,Imported,Manual,Used,"Misryal Road, Rawalpindi","Alloy Rims, Keyless Entry, Rear Camera"
1080780702,swift,Suzuki,Swift,2017,90000,2100000,Petrol,Karachi,Original,Local,Manual,Used,"North Nazimabad, Karachi","ABS, Air Bags, AM/FM Radio, DVD Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, Rear Camera"
1080834477,Toyota Passo Pearl White 2015,Toyota,Passo,2015,55600,3090000,Petrol,Karachi,Original,Imported,Automatic,Used,"Saadi Town, Karachi","ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1074440389,city 2013,Honda,City IVTEC,2013,130000,2650000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulshan-e-Iqbal, Karachi","ABS, Air Conditioning, AM/FM Radio, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080634280,civic reborn isb,Honda,City IVTEC,2013,85000,3100000,Petrol,Islamabad,Original,Local,Manual,Used,"7th Avenue, Islamabad","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player"
1080832835,Kia Picanto AT 1.0  Black 2021,KIA,Picanto,2021,14600,3000000,Petrol,Lahore,Original,Local,Automatic,Used,"Askari 11, Lahore","ABS, Air Bags, Air Conditioning, AM/FM Radio, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Steering, Power Windows, Rear AC Vents, Rear speakers, USB and Auxillary Cable"
1080269282,I am selling coure 2007,Daihatsu,Cuore,2007,100000,830000,Petrol,Karachi,Original,Imported,Manual,Used,"Federal B Area - Block 22, Karachi","Alloy Rims, AM/FM Radio, CD Player, Front Speakers"
1080080862,Suzuki bolan,Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,Used,"Rawat Enclave, Rawalpindi",Climate Control
1080381742,honda city 1.5 aspire automatic,Honda,City Aspire,2021,64000,4500000,Petrol,Punjab,Original,Local,Automatic,Used,"Allama Iqbal Town, Lahore","ABS, Air Conditioning, DVD Player, Front Speakers, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
